datetime,sw_radiation,temp_2m,cloud_cover
2020-05-25T21:00,0.0,36.2,29
2020-05-25T22:00,0.0,32.7,34
2020-05-25T23:00,0.0,32.3,53
2020-05-26T00:00,0.0,31.5,72
2020-05-26T01:00,0.0,30.8,76
2020-05-26T02:00,0.0,30.4,73
2020-05-26T03:00,0.0,29.9,52
2020-05-26T04:00,0.0,29.6,9
2020-05-26T05:00,0.0,28.8,8
2020-05-26T06:00,0.022,29.1,1
2020-05-26T07:00,0.172,30.0,1
2020-05-26T08:00,0.385,32.0,43
2020-05-26T09:00,0.568,34.2,12
2020-05-26T10:00,0.762,36.1,10
2020-05-26T11:00,0.885,37.8,7
2020-05-26T12:00,0.908,39.1,16
2020-05-26T13:00,0.816,40.0,30
2020-05-26T14:00,0.718,40.1,48
2020-05-26T15:00,0.491,39.2,45
2020-05-26T16:00,0.293,36.4,45
2020-05-26T17:00,0.187,36.3,29
2020-05-26T18:00,0.062,36.6,39
2020-05-26T19:00,0.0,36.8,31
2020-05-26T20:00,0.0,36.5,29
2020-05-26T21:00,0.0,34.9,20
2020-05-26T22:00,0.0,34.3,18
2020-05-26T23:00,0.0,33.9,13
2020-05-27T00:00,0.0,32.8,49
2020-05-27T01:00,0.0,32.4,63
2020-05-27T02:00,0.0,32.0,64
2020-05-27T03:00,0.0,31.6,37
2020-05-27T04:00,0.0,31.5,19
2020-05-27T05:00,0.0,31.0,5
2020-05-27T06:00,0.022,30.9,4
2020-05-27T07:00,0.17,31.5,1
2020-05-27T08:00,0.384,32.8,0
2020-05-27T09:00,0.594,34.5,0
2020-05-27T10:00,0.767,36.3,3
2020-05-27T11:00,0.877,37.9,3
2020-05-27T12:00,0.906,39.3,15
2020-05-27T13:00,0.805,40.3,38
2020-05-27T14:00,0.649,40.2,38
2020-05-27T15:00,0.541,39.9,34
2020-05-27T16:00,0.388,40.1,38
2020-05-27T17:00,0.206,39.8,33
2020-05-27T18:00,0.064,39.5,40
2020-05-27T19:00,0.001,38.5,34
2020-05-27T20:00,0.0,37.4,30
2020-05-27T21:00,0.0,33.9,36
2020-05-27T22:00,0.0,32.0,16
2020-05-27T23:00,0.0,32.1,8
2020-05-28T00:00,0.0,31.9,74
2020-05-28T01:00,0.0,31.6,80
2020-05-28T02:00,0.0,30.9,85
2020-05-28T03:00,0.0,30.9,85
2020-05-28T04:00,0.0,30.6,82
2020-05-28T05:00,0.0,30.1,78
2020-05-28T06:00,0.021,30.1,87
2020-05-28T07:00,0.169,30.9,88
2020-05-28T08:00,0.34,32.3,88
2020-05-28T09:00,0.52,34.2,90
2020-05-28T10:00,0.721,36.5,86
2020-05-28T11:00,0.885,38.6,80
2020-05-28T12:00,0.942,40.1,18
2020-05-28T13:00,0.858,41.0,23
2020-05-28T14:00,0.738,41.4,30
2020-05-28T15:00,0.541,41.7,29
2020-05-28T16:00,0.382,41.1,82
2020-05-28T17:00,0.189,41.0,78
2020-05-28T18:00,0.064,40.2,90
2020-05-28T19:00,0.001,39.6,82
2020-05-28T20:00,0.0,38.9,86
2020-05-28T21:00,0.0,38.3,78
2020-05-28T22:00,0.0,37.0,81
2020-05-28T23:00,0.0,35.9,77
2020-05-29T00:00,0.0,34.7,57
2020-05-29T01:00,0.0,33.3,54
2020-05-29T02:00,0.0,31.9,31
2020-05-29T03:00,0.0,30.9,1
2020-05-29T04:00,0.0,30.1,1
2020-05-29T05:00,0.0,29.4,1
2020-05-29T06:00,0.022,29.2,58
2020-05-29T07:00,0.173,30.2,54
2020-05-29T08:00,0.389,31.8,41
2020-05-29T09:00,0.599,33.9,17
2020-05-29T10:00,0.772,35.9,12
2020-05-29T11:00,0.891,37.8,80
2020-05-29T12:00,0.903,39.2,52
2020-05-29T13:00,0.718,39.6,37
2020-05-29T14:00,0.78,40.4,23
2020-05-29T15:00,0.631,40.7,19
2020-05-29T16:00,0.439,40.9,18
2020-05-29T17:00,0.239,40.6,41
2020-05-29T18:00,0.062,40.0,53
2020-05-29T19:00,0.001,39.8,66
2020-05-29T20:00,0.0,39.0,90
2020-05-29T21:00,0.0,37.4,61
2020-05-29T22:00,0.0,36.7,43
2020-05-29T23:00,0.0,33.2,35
2020-05-30T00:00,0.0,31.7,23
2020-05-30T01:00,0.0,31.1,15
2020-05-30T02:00,0.0,30.7,32
2020-05-30T03:00,0.0,30.4,53
2020-05-30T04:00,0.0,30.0,54
2020-05-30T05:00,0.0,29.0,33
2020-05-30T06:00,0.02,29.1,18
2020-05-30T07:00,0.159,30.2,21
2020-05-30T08:00,0.372,32.0,34
2020-05-30T09:00,0.579,34.2,36
2020-05-30T10:00,0.748,36.2,17
2020-05-30T11:00,0.883,37.7,6
2020-05-30T12:00,0.929,38.8,24
2020-05-30T13:00,0.827,39.3,30
2020-05-30T14:00,0.69,39.8,30
2020-05-30T15:00,0.557,39.9,26
2020-05-30T16:00,0.395,39.6,38
2020-05-30T17:00,0.223,35.1,27
2020-05-30T18:00,0.059,34.4,73
2020-05-30T19:00,0.001,34.1,38
2020-05-30T20:00,0.0,33.7,35
2020-05-30T21:00,0.0,33.1,17
2020-05-30T22:00,0.0,32.4,15
2020-05-30T23:00,0.0,32.0,12
2020-05-31T00:00,0.0,31.5,11
2020-05-31T01:00,0.0,31.0,11
2020-05-31T02:00,0.0,30.6,28
2020-05-31T03:00,0.0,30.3,34
2020-05-31T04:00,0.0,30.1,29
2020-05-31T05:00,0.0,30.1,6
2020-05-31T06:00,0.006,30.0,81
2020-05-31T07:00,0.104,30.7,77
2020-05-31T08:00,0.214,30.5,72
2020-05-31T09:00,0.302,31.0,96
2020-05-31T10:00,0.263,31.4,100
2020-05-31T11:00,0.373,32.4,98
2020-05-31T12:00,0.416,33.2,99
2020-05-31T13:00,0.628,34.3,79
2020-05-31T14:00,0.752,36.0,74
2020-05-31T15:00,0.645,36.4,79
2020-05-31T16:00,0.407,35.1,90
2020-05-31T17:00,0.182,36.0,97
2020-05-31T18:00,0.063,35.3,94
2020-05-31T19:00,0.001,34.3,94
2020-05-31T20:00,0.0,33.9,88
2020-05-31T21:00,0.0,33.4,39
2020-05-31T22:00,0.0,33.0,57
2020-05-31T23:00,0.0,32.2,83
2020-06-01T00:00,0.0,30.7,94
2020-06-01T01:00,0.0,28.5,98
2020-06-01T02:00,0.0,28.2,100
2020-06-01T03:00,0.0,28.1,99
2020-06-01T04:00,0.0,27.8,99
2020-06-01T05:00,0.0,26.3,99
2020-06-01T06:00,0.012,26.7,99
2020-06-01T07:00,0.134,27.7,98
2020-06-01T08:00,0.325,29.0,96
2020-06-01T09:00,0.523,30.5,93
2020-06-01T10:00,0.733,32.6,98
2020-06-01T11:00,0.845,33.9,80
2020-06-01T12:00,0.827,34.8,86
2020-06-01T13:00,0.842,35.7,42
2020-06-01T14:00,0.761,36.2,19
2020-06-01T15:00,0.591,36.5,66
2020-06-01T16:00,0.408,36.0,83
2020-06-01T17:00,0.211,33.8,82
2020-06-01T18:00,0.065,32.4,98
2020-06-01T19:00,0.001,30.3,98
2020-06-01T20:00,0.0,28.8,100
2020-06-01T21:00,0.0,27.6,100
2020-06-01T22:00,0.0,27.4,100
2020-06-01T23:00,0.0,27.0,100
2020-06-02T00:00,0.0,25.6,100
2020-06-02T01:00,0.0,25.4,100
2020-06-02T02:00,0.0,25.2,100
2020-06-02T03:00,0.0,25.2,100
2020-06-02T04:00,0.0,25.2,100
2020-06-02T05:00,0.0,25.3,100
2020-06-02T06:00,0.016,25.8,100
2020-06-02T07:00,0.129,26.9,98
2020-06-02T08:00,0.34,28.5,96
2020-06-02T09:00,0.531,29.7,98
2020-06-02T10:00,0.639,30.9,97
2020-06-02T11:00,0.845,32.4,96
2020-06-02T12:00,0.906,33.3,66
2020-06-02T13:00,0.858,34.1,47
2020-06-02T14:00,0.775,34.6,65
2020-06-02T15:00,0.468,29.4,89
2020-06-02T16:00,0.347,30.4,91
2020-06-02T17:00,0.157,30.5,95
2020-06-02T18:00,0.074,30.1,68
2020-06-02T19:00,0.001,29.4,66
2020-06-02T20:00,0.0,28.7,79
2020-06-02T21:00,0.0,28.3,88
2020-06-02T22:00,0.0,28.1,86
2020-06-02T23:00,0.0,27.8,91
2020-06-03T00:00,0.0,27.5,91
2020-06-03T01:00,0.0,27.5,88
2020-06-03T02:00,0.0,26.9,92
2020-06-03T03:00,0.0,26.3,92
2020-06-03T04:00,0.0,26.1,88
2020-06-03T05:00,0.0,26.4,93
2020-06-03T06:00,0.019,27.2,99
2020-06-03T07:00,0.112,28.0,99
2020-06-03T08:00,0.292,29.0,98
2020-06-03T09:00,0.502,30.0,96
2020-06-03T10:00,0.737,31.5,86
2020-06-03T11:00,0.861,32.8,88
2020-06-03T12:00,0.827,34.0,78
2020-06-03T13:00,0.696,34.6,99
2020-06-03T14:00,0.473,33.2,64
2020-06-03T15:00,0.542,34.1,64
2020-06-03T16:00,0.354,33.2,97
2020-06-03T17:00,0.208,33.0,100
2020-06-03T18:00,0.06,30.8,87
2020-06-03T19:00,0.001,30.0,86
2020-06-03T20:00,0.0,29.6,90
2020-06-03T21:00,0.0,29.3,89
2020-06-03T22:00,0.0,28.6,89
2020-06-03T23:00,0.0,28.2,88
2020-06-04T00:00,0.0,27.6,87
2020-06-04T01:00,0.0,27.1,90
2020-06-04T02:00,0.0,26.5,94
2020-06-04T03:00,0.0,26.0,94
2020-06-04T04:00,0.0,25.8,90
2020-06-04T05:00,0.0,26.0,88
2020-06-04T06:00,0.019,26.3,99
2020-06-04T07:00,0.054,26.4,91
2020-06-04T08:00,0.282,28.3,95
2020-06-04T09:00,0.455,28.7,93
2020-06-04T10:00,0.402,29.2,94
2020-06-04T11:00,0.775,32.3,98
2020-06-04T12:00,0.77,33.0,97
2020-06-04T13:00,0.78,34.0,100
2020-06-04T14:00,0.723,34.3,100
2020-06-04T15:00,0.579,34.4,100
2020-06-04T16:00,0.42,33.8,98
2020-06-04T17:00,0.202,33.8,98
2020-06-04T18:00,0.073,33.1,100
2020-06-04T19:00,0.001,31.9,100
2020-06-04T20:00,0.0,30.9,97
2020-06-04T21:00,0.0,30.0,91
2020-06-04T22:00,0.0,29.4,93
2020-06-04T23:00,0.0,29.1,95
2020-06-05T00:00,0.0,28.6,96
2020-06-05T01:00,0.0,28.0,90
2020-06-05T02:00,0.0,27.5,23
2020-06-05T03:00,0.0,27.0,73
2020-06-05T04:00,0.0,26.5,11
2020-06-05T05:00,0.0,26.6,2
2020-06-05T06:00,0.021,27.1,63
2020-06-05T07:00,0.152,27.9,68
2020-06-05T08:00,0.363,29.3,74
2020-06-05T09:00,0.587,31.1,72
2020-06-05T10:00,0.757,32.8,73
2020-06-05T11:00,0.846,33.9,79
2020-06-05T12:00,0.807,34.5,34
2020-06-05T13:00,0.793,35.3,98
2020-06-05T14:00,0.659,36.0,95
2020-06-05T15:00,0.506,35.9,100
2020-06-05T16:00,0.38,35.4,99
2020-06-05T17:00,0.237,35.0,99
2020-06-05T18:00,0.07,34.7,99
2020-06-05T19:00,0.001,33.0,98
2020-06-05T20:00,0.0,32.8,97
2020-06-05T21:00,0.0,32.2,96
2020-06-05T22:00,0.0,31.7,96
2020-06-05T23:00,0.0,31.0,97
2020-06-06T00:00,0.0,30.3,97
2020-06-06T01:00,0.0,29.5,97
2020-06-06T02:00,0.0,28.7,96
2020-06-06T03:00,0.0,28.0,95
2020-06-06T04:00,0.0,27.4,93
2020-06-06T05:00,0.0,27.2,85
2020-06-06T06:00,0.022,27.4,92
2020-06-06T07:00,0.168,28.3,92
2020-06-06T08:00,0.379,29.8,87
2020-06-06T09:00,0.579,31.7,79
2020-06-06T10:00,0.732,33.4,55
2020-06-06T11:00,0.814,34.8,35
2020-06-06T12:00,0.856,35.6,20
2020-06-06T13:00,0.847,37.0,31
2020-06-06T14:00,0.723,37.2,44
2020-06-06T15:00,0.557,37.1,37
2020-06-06T16:00,0.398,37.1,79
2020-06-06T17:00,0.217,36.9,82
2020-06-06T18:00,0.075,36.3,100
2020-06-06T19:00,0.001,34.9,68
2020-06-06T20:00,0.0,34.5,74
2020-06-06T21:00,0.0,33.8,91
2020-06-06T22:00,0.0,32.5,98
2020-06-06T23:00,0.0,31.0,99
2020-06-07T00:00,0.0,30.2,100
2020-06-07T01:00,0.0,29.2,100
2020-06-07T02:00,0.0,28.4,92
2020-06-07T03:00,0.0,27.7,90
